SchoolManagement,dbo,FK__Attendanc__Cours__5629CD9C,SchoolManagement,dbo,Attendance,CourseId,1
SchoolManagement,dbo,FK__Attendanc__Stude__5535A963,SchoolManagement,dbo,Attendance,StudentId,1
SchoolManagement,dbo,FK__Course__Classroo__48CFD27E,SchoolManagement,dbo,Course,ClassroomId,1
SchoolManagement,dbo,FK__Course__Professo__47DBAE45,SchoolManagement,dbo,Course,ProfessorId,1
SchoolManagement,dbo,FK__CourseEnr__Cours__59063A47,SchoolManagement,dbo,CourseEnrollment,CourseId,1
SchoolManagement,dbo,FK__CourseEnr__Stude__59FA5E80,SchoolManagement,dbo,CourseEnrollment,StudentId,1
SchoolManagement,dbo,FK__Exam__CourseId__4BAC3F29,SchoolManagement,dbo,Exam,CourseId,1
SchoolManagement,dbo,FK__ExamResul__ExamI__4E88ABD4,SchoolManagement,dbo,ExamResults,ExamId,1
SchoolManagement,dbo,FK__ExamResul__Stude__4F7CD00D,SchoolManagement,dbo,ExamResults,StudentId,1
SchoolManagement,dbo,FK__Homework__Course__52593CB8,SchoolManagement,dbo,Homework,CourseId,1
SchoolManagement,dbo,FK__Professor__Depar__3C69FB99,SchoolManagement,dbo,Professor,DepartmentId,1
SchoolManagement,dbo,FK__Student__GroupId__4316F928,SchoolManagement,dbo,Student,GroupId,1
SchoolManagement,dbo,FK__StudentGr__Profe__403A8C7D,SchoolManagement,dbo,StudentGroup,ProfessorId,1
SchoolManagement,dbo,PK__Attendan__8B69261CC53C2D7E,SchoolManagement,dbo,Attendance,AttendanceId,1
SchoolManagement,dbo,PK__Classroo__11618EAA1391FC2F,SchoolManagement,dbo,Classroom,ClassroomId,1
SchoolManagement,dbo,PK__Course__C92D71A7E1808C36,SchoolManagement,dbo,Course,CourseId,1
SchoolManagement,dbo,PK__CourseEn__E31874CD6DFCDFBD,SchoolManagement,dbo,CourseEnrollment,CourseEnrollmentId,1
SchoolManagement,dbo,PK__Departme__B2079BED4CF066BE,SchoolManagement,dbo,Department,DepartmentId,1
SchoolManagement,dbo,PK__Exam__297521C76B66E9EE,SchoolManagement,dbo,Exam,ExamId,1
SchoolManagement,dbo,PK__ExamResu__B66D83E7DC624C87,SchoolManagement,dbo,ExamResults,ExamResultsId,1
SchoolManagement,dbo,PK__Homework__FDE46A72B4E0424F,SchoolManagement,dbo,Homework,HomeworkId,1
SchoolManagement,dbo,PK__Professo__900359493603F51C,SchoolManagement,dbo,Professor,ProfessorId,1
SchoolManagement,dbo,PK__Student__32C52B9950C9DDF7,SchoolManagement,dbo,Student,StudentId,1
SchoolManagement,dbo,PK__StudentG__DCEA17E49FC20C6B,SchoolManagement,dbo,StudentGroup,StudentGroupId,1
