1013578649,1,981578535,5,885578193,1
1077578877,1,1045578763,2,981578535,1
1205579333,1,1173579219,2,981578535,1
1125579048,1,1093578934,5,1045578763,1
1333579789,1,1285579618,5,1093578934,1
1429580131,1,1397580017,2,1093578934,1
1509580416,1,1461580245,3,1093578934,1
1221579390,1,1173579219,4,1141579105,1
1269579561,1,1237579447,3,1173579219,1
1381579960,1,1349579846,2,1173579219,1
1445580188,1,1397580017,3,1173579219,1
1493580359,1,1461580245,2,1173579219,1
1317579732,1,1285579618,4,1237579447,1
