0x0000000BFD05E2D0	0	0x0000000C0342CC37
0x0000000BFD05E2D0	1	0x0000000C07222169
0x0000000BFD05E2D0	2	0x0000000C06CA1131
0x0000000BFD05E2D0	3	0x0000000C06CA1512
0x0000000BFD05E2D0	4	0x0000000C09384E1D
0x0000000BFD05E2D0	5	0x0000000C09385388
0x0000000BFD05E2D0	6	0x0000000C09384FFD
0x0000000BFD05E2D0	7	0x0000000C093B01B8
0x0000000BFD05E2D0	8	0x0000000C093B02C0
0x0000000BFD05E2D0	9	0x0000000C093AFA27
0x0000000BFD05E2D0	10	0x0000000C093AFF79
0x0000000BFD05E2D0	11	0x0000000C02643424
0x0000000BFD05E2D0	12	0x0000000C000C3411
0x0000000BFD05E2D0	13	0x00007F6A43728A00
