3,1,1,1
3,1,3,2
5,1,1,1
6,1,1,1
6,1,2,2
6,1,3,3
6,1,4,4
6,1,5,5
6,1,6,6
7,1,1,1
7,2,3,1
7,2,2,2
7,2,1,3
9,1,1,1
9,1,2,2
9,1,3,3
9,1,4,4
17,1,1,1
17,2,3,1
17,2,4,2
17,2,5,3
17,2,6,0
17,3,2,1
18,1,1,1
18,1,2,2
18,2,1,1
18,2,4,2
18,2,5,3
19,1,1,1
19,1,2,2
19,1,3,3
19,1,4,4
20,1,1,1
20,1,2,2
21,1,2,1
21,1,3,2
22,1,2,1
22,1,3,2
22,1,4,3
23,1,2,1
24,1,2,1
25,1,1,1
27,1,1,1
27,2,2,1
27,3,4,1
27,3,1,2
28,1,1,1
28,2,2,1
28,3,9,1
28,3,10,2
29,1,1,1
29,1,2,2
29,1,3,3
29,1,4,4
29,1,5,5
29,1,6,6
34,1,1,1
34,2,4,1
34,2,3,2
34,2,2,3
34,3,2,1
34,3,3,2
34,3,4,3
34,4,7,1
34,4,8,2
35,1,1,1
35,1,2,2
36,1,1,1
36,2,2,1
37,1,1,1
38,1,1,1
38,2,2,1
40,1,1,1
40,1,2,2
40,1,3,3
40,1,4,4
40,1,5,5
40,1,6,6
40,2,1,1
40,2,4,2
40,2,5,3
40,2,2,4
40,2,3,5
40,2,6,6
41,1,1,1
41,1,2,2
41,1,3,3
41,2,1,1
41,2,4,2
41,2,2,3
42,1,1,1
42,2,2,1
42,3,3,1
43,1,1,1
43,2,2,1
44,1,1,1
44,1,2,2
44,2,3,1
44,2,4,2
44,2,1,3
45,1,1,1
45,1,2,2
46,1,1,1
46,2,2,1
46,3,3,1
46,3,4,2
46,4,5,1
47,1,1,1
47,1,2,2
48,1,1,1
48,1,2,2
49,1,1,1
49,1,2,2
49,1,3,3
49,1,4,4
50,1,1,1
50,2,2,1
50,2,3,2
50,3,3,1
50,3,2,2
51,1,1,1
51,1,2,2
51,1,3,3
51,2,4,1
51,2,2,2
51,2,1,3
54,1,1,1
54,1,2,2
54,2,3,1
54,2,1,2
55,1,1,1
55,1,2,2
55,1,3,3
55,2,1,1
55,2,5,2
55,2,3,3
55,2,2,4
56,1,1,1
56,2,2,1
57,1,1,1
57,1,2,2
57,1,3,3
58,1,1,1
58,1,2,2
58,2,1,1
58,2,3,2
58,2,4,3
59,1,1,1
59,1,2,2
59,1,3,3
59,1,4,4
59,1,5,5
59,1,6,6
60,1,1,1
60,1,2,2
60,1,3,3
60,1,4,4
62,1,1,1
62,1,2,2
62,1,3,3
63,1,1,1
63,1,2,2
63,1,3,3
64,1,1,1
64,1,2,2
64,2,3,1
64,2,1,2
65,1,1,1
65,1,2,2
65,1,3,3
65,1,4,4
67,1,1,1
67,2,2,1
67,3,3,1
67,3,4,2
68,1,1,1
68,1,2,2
68,1,8,3
69,1,1,1
69,2,3,1
69,2,4,2
69,2,1,3
69,3,2,1
71,1,1,1
72,1,1,1
73,1,1,1
73,1,2,2
74,1,1,2
74,1,2,1
74,1,3,3
74,2,4,1
74,2,1,2
74,2,5,3
74,2,2,4
74,2,3,5
75,1,1,2
75,1,2,1
75,1,3,3
75,1,4,4
75,1,5,5
75,2,4,1
75,2,1,2
75,2,5,3
75,2,2,4
75,2,3,5
78,1,1,2
78,1,2,1
78,1,3,3
78,2,4,1
78,2,1,2
79,1,1,1
79,1,2,2
80,1,1,1
82,1,1,1
82,1,2,2
84,1,1,1
85,1,1,1
85,1,2,2
85,1,3,3
86,1,1,1
86,1,2,2
86,2,1,1
86,2,3,2
86,3,1,1
86,3,4,2
86,3,5,3
87,1,1,1
89,1,1,1
89,2,2,1
89,2,3,2
89,2,4,3
90,1,1,1
90,1,2,2
90,1,3,3
90,2,3,1
91,1,1,1
91,2,2,1
91,2,3,2
91,2,4,3
91,2,5,4
91,2,6,5
91,2,7,6
92,1,1,1
92,1,2,2
93,1,1,1
93,1,2,2
93,2,3,1
93,2,1,2
93,2,2,3
94,1,1,1
94,1,2,2
94,1,3,3
95,1,1,1
95,2,2,1
95,3,3,1
96,1,1,1
96,2,2,1
96,3,3,1
96,3,4,2
96,3,5,3
96,3,1,4
97,1,1,1
97,1,2,2
97,1,3,3
97,2,4,1
97,2,2,2
97,2,1,3
98,1,1,2
98,1,2,1
98,1,3,5
98,1,4,3
98,1,5,4
98,1,8,6
98,2,4,1
98,2,5,2
98,2,3,3
98,2,2,4
98,2,1,5
98,2,8,6
101575400,1,1,1
101575400,2,2,1
117575457,1,1,1
117575457,1,2,2
117575457,2,1,1
117575457,2,3,2
117575457,3,25,1
133575514,1,1,1
133575514,2,2,1
149575571,2,4,1
149575571,2,3,2
165575628,1,1,1
165575628,2,3,1
181575685,1,1,1
181575685,2,2,1
181575685,2,3,2
197575742,1,1,1
197575742,2,2,1
213575799,1,2,1
213575799,1,3,2
213575799,1,4,3
213575799,2,1,1
229575856,1,1,1
229575856,2,3,1
245575913,1,1,1
261575970,1,1,1
261575970,2,1,1
277576027,1,1,1
277576027,2,3,1
293576084,1,2,1
293576084,1,3,2
293576084,1,4,3
293576084,1,5,4
293576084,2,1,1
885578193,1,1,1
981578535,1,1,1
1045578763,1,1,1
1093578934,1,1,1
1141579105,1,1,1
1173579219,1,1,1
1237579447,1,1,1
1285579618,1,1,1
1349579846,1,1,1
1397580017,1,1,1
1461580245,1,1,1
1993058136,1,1,1
1993058136,1,2,3
1993058136,1,3,5
1993058136,1,4,2
1993058136,1,5,4
1993058136,2,1,1
1993058136,2,2,2
1993058136,2,3,3
1993058136,2,4,4
1993058136,2,5,5
1993058136,2,9,6
2025058250,1,1,1
2025058250,1,2,3
2025058250,1,3,5
2025058250,1,4,2
2025058250,1,5,4
2025058250,2,1,1
2025058250,2,2,2
2025058250,2,3,3
2025058250,2,4,4
2025058250,2,5,5
2025058250,2,9,6
2057058364,1,1,1
2057058364,1,2,3
2057058364,1,3,5
2057058364,1,4,2
2057058364,1,5,4
2057058364,2,1,1
2057058364,2,2,2
2057058364,2,3,3
2057058364,2,4,4
2057058364,2,5,5
2057058364,2,9,6
2073058421,1,1,1
2073058421,1,2,2
2073058421,1,3,3
2073058421,2,4,1
2073058421,2,5,2
2073058421,2,6,3
2073058421,2,1,4
2073058421,2,2,5
2073058421,2,3,6
2089058478,1,1,1
2089058478,1,2,2
2089058478,2,2,1
2089058478,2,6,0
2105058535,1,1,1
2105058535,1,2,2
2105058535,1,3,3
2105058535,1,4,4
2105058535,1,5,5
